year,nominal
1970,9.27215341015168
1971,10.0204970737864
1972,10.7399363822274
1973,12.0139664029038
1974,13.112602516476
1975,13.9309019105499
1976,14.7913889222291
1977,16.3986299749915
1978,18.5895153451533
1979,21.0566886146162
1980,22.7349434246288
1981,23.9638143020428
1982,24.6822737992218
1983,25.6060074384518
1984,26.8010358221764
1985,28.398845360304
1986,30.5991622451005
1987,33.0053080669267
1988,35.1035426756762
1989,37.1080169330565
1990,38.0689218358471
1991,38.418306287806
1992,39.38245009619
1993,40.3331897201322
1994,41.6860548627861
1995,42.767006561788
1996,44.0260424195808
1997,45.2831633926952
1998,47.4699602686735
1999,50.3738809935883
2000,53.7546076919063
2001,57.477141085179
2002,61.5299918674128
2003,66.2501795239431
2004,72.5080185803695
2005,80.0938292931682
2006,84.8063574234457
2007,84.8111446247573
2008,77.9233089265724
2009,73.3007803221832
2010,71.1216429766115
2011,68.1267652896995
2012,70.1048398728002
2013,75.0787495872289
2014,78.8826655274139
2015,83.0714730221281
2016,88.0128297219456
2017,93.8168413982653
2018,100
